"","simphe_mean0_hSquare0.7_cv0.1_QTN100_A10_D0_AA0_AD0_DA0_DD0_epoch1642079623","simphe_mean0_hSquare0.7_cv0.1_QTN100_A8_D2_AA0_AD0_DA0_DD0_epoch1642079623","simphe_mean0_hSquare0.7_cv0.1_QTN100_A6_D4_AA0_AD0_DA0_DD0_epoch1642079623","simphe_mean0_hSquare0.7_cv0.1_QTN100_A4_D6_AA0_AD0_DA0_DD0_epoch1642079623","simphe_mean0_hSquare0.7_cv0.1_QTN100_A2_D8_AA0_AD0_DA0_DD0_epoch1642079623","simphe_mean0_hSquare0.7_cv0.1_QTN100_A0_D10_AA0_AD0_DA0_DD0_epoch1642079623","simphe_mean0_hSquare0.7_cv0.1_QTN100_A10_D0_AA0_AD0_DA0_DD0_epoch1642079786","simphe_mean0_hSquare0.7_cv0.1_QTN100_A8_D2_AA0_AD0_DA0_DD0_epoch1642079786","simphe_mean0_hSquare0.7_cv0.1_QTN100_A6_D4_AA0_AD0_DA0_DD0_epoch1642079786","simphe_mean0_hSquare0.7_cv0.1_QTN100_A4_D6_AA0_AD0_DA0_DD0_epoch1642079786","simphe_mean0_hSquare0.7_cv0.1_QTN100_A2_D8_AA0_AD0_DA0_DD0_epoch1642079786","simphe_mean0_hSquare0.7_cv0.1_QTN100_A0_D10_AA0_AD0_DA0_DD0_epoch1642079786","simphe_mean0_hSquare0.7_cv0.1_QTN100_A10_D0_AA0_AD0_DA0_DD0_epoch1642081054","simphe_mean0_hSquare0.7_cv0.1_QTN100_A8_D2_AA0_AD0_DA0_DD0_epoch1642081054","simphe_mean0_hSquare0.7_cv0.1_QTN100_A6_D4_AA0_AD0_DA0_DD0_epoch1642081054","simphe_mean0_hSquare0.7_cv0.1_QTN100_A4_D6_AA0_AD0_DA0_DD0_epoch1642081054","simphe_mean0_hSquare0.7_cv0.1_QTN100_A2_D8_AA0_AD0_DA0_DD0_epoch1642081054","simphe_mean0_hSquare0.7_cv0.1_QTN100_A0_D10_AA0_AD0_DA0_DD0_epoch1642081054","simphe_mean0_hSquare0.7_cv0.1_QTN100_A10_D0_AA0_AD0_DA0_DD0_epoch1642081311","simphe_mean0_hSquare0.7_cv0.1_QTN100_A8_D2_AA0_AD0_DA0_DD0_epoch1642081311","simphe_mean0_hSquare0.7_cv0.1_QTN100_A6_D4_AA0_AD0_DA0_DD0_epoch1642081311","simphe_mean0_hSquare0.7_cv0.1_QTN100_A4_D6_AA0_AD0_DA0_DD0_epoch1642081311","simphe_mean0_hSquare0.7_cv0.1_QTN100_A2_D8_AA0_AD0_DA0_DD0_epoch1642081311","simphe_mean0_hSquare0.7_cv0.1_QTN100_A0_D10_AA0_AD0_DA0_DD0_epoch1642081311","simphe_mean0_hSquare0.7_cv0.1_QTN100_A10_D0_AA0_AD0_DA0_DD0_epoch1642081455","simphe_mean0_hSquare0.7_cv0.1_QTN100_A8_D2_AA0_AD0_DA0_DD0_epoch1642081455","simphe_mean0_hSquare0.7_cv0.1_QTN100_A6_D4_AA0_AD0_DA0_DD0_epoch1642081455","simphe_mean0_hSquare0.7_cv0.1_QTN100_A4_D6_AA0_AD0_DA0_DD0_epoch1642081455","simphe_mean0_hSquare0.7_cv0.1_QTN100_A2_D8_AA0_AD0_DA0_DD0_epoch1642081455","simphe_mean0_hSquare0.7_cv0.1_QTN100_A0_D10_AA0_AD0_DA0_DD0_epoch1642081455"
"sample_435",88.6444571927088,-45.2861106901301,-28.2636998752587,47.3469410598662,-5.95478598715324,-51.5050488680557,72.4510189089066,-73.5226368877237,-39.7855270777778,2.31424650760359,-50.0123261456534,-1.34439347227556,218.522980072434,-21.2384821996211,-52.5496525070432,10.2401668905979,-80.199959063878,0.404651064219216,88.2272272439508,36.343370644149,-25.9559047060814,-40.6296602912773,-15.7661204569921,76.3536024645588,-23.0214980032598,-15.6631252549349,-10.2927371136656,-21.0519111386926,-97.7363772788305,68.0086046510272
"sample_392",162.82945460117,44.2998388180479,-26.7508452920757,9.62694344005272,45.9478253007893,-83.4159826026758,76.3742327314455,-11.4560830828124,-80.9461616271877,7.36508158661386,-41.7749493470788,-6.84033934712505,309.239985744225,25.5599255374876,-42.1633338703528,70.1973239232606,-32.2366352885898,-143.777209330563,120.378305207516,12.3505545958348,-15.9438711040228,33.6081672609098,-42.2689833677953,44.6044746258923,161.177237250816,-36.9281583741257,-15.200082169585,95.3766475800307,-106.486465347117,6.19459689476734
"sample_621",149.986347874808,86.2191369020935,-44.9782081696536,-3.94760707532034,-51.1043621700593,-64.0887996910622,28.6392525683184,-84.567678353205,-66.2996327012411,-3.61015651214221,-55.3033698431967,79.9591982949988,152.637449354502,-137.150307433827,52.633921301574,100.30355361959,1.97259716481179,-35.9561276178267,74.1585888711148,95.6116406583774,-5.65863794511876,37.9551307229437,-11.8531751776023,44.0943662213705,8.66661379954677,1.93093545198185,-51.9151424419227,22.7403184052744,-59.8205575954841,-119.750208841239
"sample_541",86.2404480684738,-33.0690881744283,-15.3399317484471,-71.9081764081064,-22.6609755405222,90.7686579084634,-47.2476121110389,64.9255312723117,43.6193304244891,50.548469545991,-21.233009206458,-39.0203797129637,91.2551967196721,-80.7276958661403,14.1001198404948,76.6793159679055,-46.5543570652711,34.3183682529234,96.3229951905003,169.549362357615,74.9364107979132,28.2347326644398,3.84861441354333,7.63636382097233,123.011788378004,-20.1551020007871,12.45385365701,38.1888847427095,-43.1112357581873,-34.3223010285613
"sample_544",64.7076428944242,-51.056406831388,-96.8468656878486,23.9811459843265,7.65684265897908,-47.9820427550144,-36.6586464752789,85.9425673727256,88.1110278383571,28.9391489550044,-34.561549335066,100.533955562347,135.89147365541,-38.4601532183582,28.7400962099902,19.6819225525689,-59.7661946422694,28.7842872420695,109.947566338836,20.2959752722292,-8.58879107950282,6.43274826829997,-15.6539956532972,34.3220229109416,92.4007378185881,-7.80146629836326,63.4849492912451,31.9388365807745,-36.6485308910759,9.24644101749461
"sample_460",83.97801044934,-19.870902156118,7.81693345776276,-40.2395400200559,-15.6093098976101,-44.5910452730766,129.633216543056,22.7435102407535,95.9273004972925,80.7649620740089,-3.27617898780455,29.7373878758176,142.860131908893,-49.0456067189103,-68.7779120781946,-3.40919053630082,14.0354805368601,-130.983392442941,135.555994941293,102.285179464624,-0.124926565690195,-47.8845669891354,-63.6903756723773,-36.9168219146959,-8.05356810885487,-177.852629331198,-19.1502330042958,-18.3913354172534,-92.1853363323681,17.356829476072
"sample_439",62.9132608988253,57.3695082136595,3.52631666202565,10.2746078592832,31.5719884321931,-8.15512255941207,101.342212627171,15.460559836766,53.0073610783017,61.3876751313147,-61.1649773246604,54.8901563986419,172.655052352013,-60.7907496056811,-37.488925744504,-54.771723006005,-14.921743097734,-71.0837176049008,48.2983216912265,84.789492625834,98.6620158531071,-46.6748767482266,-41.9118131611154,1.37008003621733,82.2648459207942,-18.9412503362917,-40.8049637699822,48.3143973342551,3.84422521361231,-3.64034568758395
"sample_412",68.3454155302409,-17.7159266257318,21.0397358126083,-9.44137454478196,12.171566065674,-72.2616206207792,0.808371390937859,27.4266309302735,24.2495160304369,15.0894992958446,-68.6797092558093,49.4263777298617,25.4695394601851,-40.3399188189963,-87.0152156184993,0.085998689395268,-61.9806900906104,-8.42934805128434,-53.7588522556035,96.9559679455792,28.9947767868919,10.7980343218595,-35.1997272086684,84.6209868226191,111.329415467402,-47.8971253039842,-29.3916482139243,-20.0922312287004,-26.0744019232341,39.2359005338271
"sample_440",76.5410809446198,66.4298384708635,32.4656489528799,-10.8376916561231,-24.0740285577476,35.862822218576,24.4040451014519,-44.2074097839828,26.4959470538159,84.3808254609989,-42.8585043565815,80.2375636143223,53.1460759081116,-106.856405968515,-122.876921300778,-36.200321790927,-21.7209183164052,-62.3438576024007,113.661193627947,161.681454706673,31.9733601810345,9.20716711594864,3.65894421171646,-9.96575774759332,50.1716050742057,5.96119790927951,-30.9613710543071,3.4908578261246,-57.4881556861263,9.27554185848098
"sample_408",96.1541531943892,62.3345707198991,-35.3411697394845,-31.5620606415385,130.092516528175,13.9825076477229,-30.8075254457565,54.0151229524255,-6.22105306007444,68.9018938816671,-74.8629608370696,74.0995422605912,127.13200816149,2.32760917187958,-73.1759158100184,5.58671944414418,26.0793538166066,-13.8155652415822,89.2360383584485,54.4500812580772,26.8782332278806,14.5548326542761,40.2360772250132,62.0835338336479,40.6059070858292,-19.0344778229073,-24.1331604953498,-42.221856645905,-76.1178951048963,-78.4948680061808
"sample_391",80.7226075283818,0.480580132987857,-46.4608017085523,28.5187323237134,31.8048960446538,1.71734768868115,-42.9299946854804,-33.4514883583174,61.4986084684239,68.8495041568335,-115.934571547438,34.6377186728244,71.9814235034657,-26.9816100233756,95.7834523221101,-4.86207148337306,-86.0081861421302,-56.0750107000597,53.7493732308872,105.635614546833,4.04049135146899,-58.4929322488965,-9.20386270936098,111.422757986074,20.7386356490175,-18.4635066147053,-75.6439676208154,-19.43130496564,-94.1071518762043,34.4095456447844
"sample_484",22.8057979043179,68.8676457523531,-41.217644043744,-54.8089595110346,-42.324509574703,-62.7919070599357,108.605163552155,-6.10179618974,-18.7164115110555,27.2026420373543,-73.8501145171027,100.644157388067,125.406719242439,-91.4583615899951,2.89841900427385,-15.0907815510302,-22.575452136358,-98.08104892032,91.5342409940573,95.4898693229463,-20.3818440710853,41.5361942649792,68.2287831171964,44.3914779850288,25.6816069401985,-29.3300868189763,-78.3618215440034,-19.7411226984146,-29.053961789306,37.3793205436638
"sample_480",4.46364088205166,95.9237024025441,15.3560172700818,54.4546276993049,12.289921311954,4.5189591577661,4.90320510048427,32.168762400223,98.2822998198716,5.4571711495695,-71.8071492654941,61.7168762816636,53.9912868068141,120.534893418759,6.22575994635707,69.6667407457363,-35.4265542818628,-35.544246439583,62.7291037222537,36.4018081843711,21.9058185626917,-44.3108256669936,-9.81507258251961,40.1567820396967,52.0801955482837,76.0501807054557,51.8509170553016,-30.9389746091183,-39.3339229325881,-116.121794774751
