"","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A100_D0_AA0_AD0_DA0_DD0_epoch1649239502","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A75_D25_AA0_AD0_DA0_DD0_epoch1649239502","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A50_D50_AA0_AD0_DA0_DD0_epoch1649240345","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A25_D75_AA0_AD0_DA0_DD0_epoch1649240345","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D100_AA0_AD0_DA0_DD0_epoch1649240989","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA34_AD0_DA0_DD0_epoch1649241541","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD34_DA0_DD0_epoch1649241541","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA34_DD0_epoch1649242513","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA0_DD34_epoch1649242513","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA8.5_AD8.5_DA8.5_DD8.5_epoch1649246514"
"sample_435",3694.46322702358,285.301492792395,-556.768265952265,1168.77487585233,-346.902827709248,1313.74125635565,-472.500859633493,974.811039825489,483.078907908892,1644.18612610988
"sample_392",5572.96973958522,-3003.35849521995,1034.79348731122,-409.452476398489,-1309.65305914212,216.746484540787,-1212.97452998803,-282.922308133586,1166.34441058456,3239.68412991246
"sample_621",5479.70728154733,361.984575557166,-89.1713627967823,-914.159722722593,69.439136950557,-759.174022052184,-560.521588363661,414.424281826228,-130.55395579157,667.279739815246
"sample_541",-198.852622049867,290.408122926567,927.060494446033,123.373108532702,-1456.77776666194,1164.74171918419,-24.6120837186179,421.016971507302,288.297718699985,782.53975271667
"sample_544",4552.06704311619,-1362.62805914749,880.316834888314,-1183.31435314638,-1373.35334592665,921.705846013271,296.200923668616,505.807665746518,316.113237392774,2450.18242867086
"sample_460",2824.82094787408,536.908544591101,-227.906470092024,-539.447683700293,376.10039569969,-221.565415016743,-682.764556533197,461.241508747434,-452.372996996148,120.758041822827
"sample_439",2621.87149533679,-1110.39865452775,745.654913733334,-2863.58590386539,140.638264118101,-107.120075072821,-52.7614280853525,-267.917445629995,-331.67963038544,733.17462947129
"sample_412",35.398952658345,104.160962324528,2924.56205528757,-1633.60850894322,1990.29762915842,143.711793304519,1698.14731726395,-2476.57363720677,-19.6680542769081,350.070116515997
"sample_440",2695.31967601035,-398.155342031682,2219.63954883153,-2057.7357633011,-458.174759323538,-102.952610251349,963.1004436572,-132.684638241127,171.880623480719,2979.86152711659
"sample_408",1574.43182280324,-36.4011525407693,2040.80447414553,-1375.28115522472,-245.070005789311,203.8254989618,564.867282320452,-1044.98089242868,327.95038720598,1229.5034130464
"sample_391",5559.77995422348,1224.0082351078,-926.505131491126,100.55344066757,-2575.80498466915,913.737915326962,-258.492800957209,-581.638124116643,-157.313292920317,1807.101437931
"sample_484",1882.40883666409,-29.7146801145312,-890.07913978349,1184.95309723455,635.597198111635,-1134.79872765283,-1553.3266593361,386.249260962868,783.657640601547,2587.72075455148
"sample_480",-3064.75055513012,2609.26619015482,-72.8832995850806,-2041.36875856364,-1683.77259111518,1787.18265235651,974.973535364315,163.462758047579,728.643982992168,370.187186774649
"sample_390",2507.21809005916,2356.20370040168,3086.92054817365,-16.357550179293,-5612.8135094267,-0.745121297999049,523.214558000025,1362.60186790684,510.509780452685,971.957136649874
"sample_622",-719.407221760323,346.045603044515,1573.84969999427,1275.93496139454,-2812.33244448773,-1467.63849461391,107.837266593031,-1003.07363286598,-8.32363537716398,1853.26328181435
"sample_458",-2693.91504749,1189.54551970938,1508.75702497768,37.2879491282568,-79.8875225853706,252.350548598213,357.691544180329,16.5039354641126,124.337905199708,1622.44325489705
