"","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA1.13_AD1.13_DA0_DD1.13_epoch1651144352","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A10_D0_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A7.5_D2.5_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A5_D5_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A2.5_D7.5_AA0_AD0_DA0_DD0_epoch1651155913","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D10_AA0_AD0_DA0_DD0_epoch1651173856","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA3.4_AD0_DA0_DD0_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA0_AD3.4_DA0_DD0_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA0_AD0_DA0_DD3.4_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA1.13_AD1.13_DA0_DD1.13_epoch1651183589"
"sample_435",62.0896129895009,-410.662564159684,-396.176431734114,-239.164523770309,-50.0949844820943,177.275063013927,-14.7778973839129,147.76525737841,-204.951999323205,-240.672682089444
"sample_392",80.986751456667,-158.507511739634,-137.670105240256,-146.799594190658,280.577948870007,-22.9118304208108,-54.9108296029524,179.178201492135,-144.059771279877,-157.545830017642
"sample_621",179.906787512985,-212.679882205106,-14.5775219726727,-117.374263410233,2.990416863356,256.049617149999,69.4546911572322,79.382176320763,-241.652318347831,-242.615625749276
"sample_541",77.3000892413866,-41.6177624172185,-378.427804154774,-46.7468430177358,155.471177830616,-237.793976580774,-97.540351635456,59.9992727093793,0.58119588621193,-229.802853746164
"sample_544",245.228413580245,207.311128447101,-111.131325513586,-49.7203669389184,8.91735237641286,220.266697055807,-172.593198650199,-134.247777834387,-32.8314289029522,61.3007290531592
"sample_460",84.0808594218857,-16.0532818028454,-314.272304679224,-227.835056226104,100.741777245067,-234.570133273044,-92.2104826142131,170.707403284976,-270.109865964877,-242.829806272842
"sample_439",-73.9993138062706,-78.8643251364385,137.12417148398,-269.654366808089,-38.1157060147709,-179.92391785297,-120.398958616766,163.144547373611,-184.707355333308,-324.17020559189
"sample_412",-12.0498688495518,114.484283531877,-135.368041853417,-414.582100757743,-16.1878782844429,-211.476671538791,-28.4854563241222,-112.418548421962,-249.497449120024,-330.938709047718
"sample_440",-1.64269236349939,-20.6014817278546,-225.025385881278,-486.991273538591,136.963342785516,-144.209377528388,16.9048579304437,43.2851345624987,-252.458703792112,-338.501589070646
"sample_408",68.4002982199647,-274.280085572594,-112.364073712622,-350.776742201072,215.731524165822,-70.7176643503544,-72.3814409412601,103.482521351856,-268.009089655076,-265.513709426463
"sample_391",1.2511260251067,-234.872941482873,-21.811009660082,-198.04662614908,92.1504010645558,168.597396434835,118.626259413052,119.966152643218,-185.806284433232,-49.9440193722833
"sample_484",18.726351836878,-210.835762741968,-89.606479328291,-188.509123492737,-27.1987748976085,22.5133129094572,27.8087962057828,211.842756118754,-270.973277520428,-228.274465028566
"sample_480",-31.493054711284,-275.674324721948,-280.42484937232,-352.456842111137,-182.718007417932,-68.9817232019595,128.679802567277,-133.403530189981,-60.518319475576,-225.065095553968
"sample_390",153.115279266452,-146.833727606495,-278.182708645774,-465.754294469209,87.7739966615313,101.687640345241,-30.4612048290357,106.359797032071,-266.366753102908,-366.571615153558
"sample_622",130.684141675305,-238.518086712147,-65.0892273854943,-113.478139632869,249.790550992931,64.6056397168635,-3.99229294579635,130.886461792464,-125.115115548858,-249.163316446483
"sample_458",-154.485990400402,-93.8099512916223,-37.5744302637741,-111.114190167091,176.777135289375,152.074969496201,-25.2735025261565,-88.0150484138989,-191.635584283323,-229.250771754733
"sample_5",80.4753712801373,17.9120416133207,-168.939616711513,-432.513352642264,111.095706993656,-259.114131582705,117.836085149563,44.5610814365725,-103.90675819322,-218.048683130486
"sample_282",172.692375786894,-131.263513937805,-362.981940546375,-431.80648195818,146.996043770695,71.1836616213821,109.672248555661,172.979150572982,1.75987722530845,-117.181019554954
